| Val Datasets                            | Datset Name                                                                                               | Fail desc                                                                                                                                                                                                                 | model                                                                            | Train dataset                                                                                                                             |
| --------------------------------------- | --------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------- |
| nfft = 512,<br>0-10kHz, DGF             | jogarulfop/rollout_2026-08-04_shake4it_bench_dragonfly_10kHz_nfft_512_big_20260804_112531                 | \[1,1,1,0,1,  1,1,1,1,1,  1,1,1,1,1,  1,1,1,1,1,     2,3,2,0,2,  2,2,3,2,2,  3,2,3,3,3,  0,0,3,3,2,     3,3,3,4,3, 3,3,3,3,3, 3,3,3,3,3, 3,3,0,3,3,      4,4,4,4,3,  4,4,4,4,4,  0,4,0,4,4,  4,0,4,4,4]                   | jogarulfop/policy_2026-07-28_shake4it_bench_dragonfly_10kHz_nfft_512             | jogarulfop/2026-07-28_shake4it_bench_dragonfly_10kHz_nfft_512  from jogarulfop/2026-07-28_shake4it_bench_20260729_101957                  |
| nfft = 512,<br>0-10kHz, ACC             | jogarulfop/rollout_2026-08-04_shake4it_bench_accelero_10kHz_nfft_512_big_20260804_105115                  | \[1,2,1,1,1,  1,1,1,1,2,  1,1,1,1,2,  1,1,1,1,1,     2,2,2,2,2,  2,2,2,2,2,  2,2,0,2,2,  2,2,2,2,2,     3,3,3,4,3, 4,4,3,4,3, 4,3,4,3,0, 3,4,4,4,4,      3,0,4,4,4,  4,4,4,4,2,  3,4,0,4,3,  0,4,0,4,4]                   | jogarulfop/policy_2026-08-03_shake4it_bench_accelero_10kHz_nfft_512              | jogarulfop/2026-07-28_shake4it_bench_accelero_10kHz_nfft_512     from jogarulfop/2026-07-28_shake4it_bench_20260729_101957                |
| NOTACT                                  | jogarulfop/rollout_2026-08-04_shake4it_bench_notact_20260804_143759                                       | \[1,2,0,2,3,  3,0,3,2,3,  3,2,2,3,2,  3,0,3,3,4,     0,4,4,3,4,  4,4,3,2,4,  3,0,3,2,3,  3,2,3,3,2,     3,2,2,3,4, 4,2,2,3,3, 3,3,3,3,2, 0,2,0,4,2,      2,2,1,2,4,  0,0,4,2,3,  3,4,4,2,2,  2,3,3,4,4]                   | jogarulfop/policy_2026-08-03_shake4it_bench_notact                               | jogarulfop/2026-07-28_shake4it_bench_notact    from jogarulfop/2026-07-28_shake4it_bench_20260729_101957                                  |
| nfft = 64,<br>0-10kHz, DGF              | jogarulfop/rollout_2026-08-05_shake4it_bench_dragonfly_10kHz_nfft_64_big_20260805_151856                  | \[4,4,3,4,3,  0,0,4,2,3,  4,3,2,4,4,  4,4,0,0,4,     4,4,4,4,4,  0,4,4,4,4,  0,-1,0,0,4,  4,0,4,4,4,     3,3,4,3,4, 4,2,2,3,4, 0,0,-1,3,4, 3,0,4,3,4,         3,4,-1,-1,4,  0,4,4,4,0,   4,4,4,4,3,   4,0,4,0,4]          | jogarulfop/policy_2026-07-28_shake4it_bench_dragonfly_10kHz_nfft_64              | jogarulfop/2026-07-28_shake4it_bench_dragonfly_10kHz_nfft_64     from jogarulfop/2026-07-28_shake4it_bench_20260729_101957                |
| nfft = 512,<br>0-100kHz, DGF            | jogarulfop/rollout_2026-08-05_shake4it_bench_dragonfly_100kHz_nfft_512_big_20260805_162516                | \[2,2,0,2,3,   2,3,3,0,3,   3,3,2,3,0,   3,2,2,3,3,      3,3,4,0,4,    4,4,0,0,0,   3,2,2,0,2,   2,0,2,2,3,     3,2,-1,4,0,  0,3,3,0,4,   2,0,3,3,2,   3,-1,3,3,3,      3,3,4,4,4,  3,0,0,2,3,  0,0,3,3,0,  3,3,-1,3,3]   | jogarulfop/policy_2026-07-28_shake4it_bench_dragonfly_100kHz_nfft_512            | jogarulfop/2026-07-28_shake4it_bench_dragonfly_100kHz_nfft_512 from jogarulfop/2026-07-28_shake4it_bench_20260729_101957                  |
| nfft = 4096,<br>0-100kHz, DGF           | jogarulfop/rollout_2026-08-05_shake4it_bench_dragonfly_100kHz_nfft_4096_big_20260806_092142               | \[1,1,1,1,1,  1,1,1,1,1,  1,0,1,1,1,  1,1,1,1,1,     1,2,2,2,2,  2,2,2,2,2,  2,2,2,2,2,  3,2,2,2,2,     3,3,-1,3,3, 3,0,3,4,-1,   3,0,-1,3,2,   3,3,3,3,0,      4,4,4,4,0,  4,4,0,0,2,  4,4,4,4,4,  4,4,4,3,4]            | jogarulfop/policy_2026-07-28_shake4it_bench_dragonfly_100kHz_nfft_4096           | jogarulfop/2026-07-28_shake4it_bench_dragonfly_100kHz_nfft_4096    from jogarulfop/2026-07-28_shake4it_bench_20260729_101957              |
| nfft = 512,<br>0-10kHz, LOAD CELL       | jogarulfop/rollout_2026-08-06_shake4it_bench_dlc_load_cell_10kHz_nfft_512_big_20260807_142722             | \[1,1,1,1,1,  2,2,1,1,1,  2,2,2,1,2,  1,2,1,2,1,         2,2,2,1,2,  2,2,2,2,2,  2,2,2,2,1,  1,3,2,2,2,          2,2,3,3,3, 3,3,2,3,2,   2,3,2,3,-1,   2,2,-1,3,2,       3,3,2,3,3, 3,2,2,3,-1,   2,3,3,3,3,   3,2,3,3,2] | jogarulfop/policy_2026-08-06_shake4it_bench_dlc_load_cell_10kHz_nfft_512         | jogarulfop/2026-08-06_shake4it_bench_dlc_load_cell_10kHz_nfft_512 from jogarulfop/2026-08-06_shake4it_bench_dgf_load_cell_20260806_173918 |
| nfft = 512,<br>0-10kHz, DGF_LDC         |                                                                                                           | \[2,2,1,1,1,  0,1,1,1,1,  1,2,1,1,2,  1,1,1,2,1,         2,2,2,0,3,  2,2,2,2,2,  0,2,2,2,2,  2,2,2,2,2,          0,2,2,3,2, 2,0,3,3,3,   3,3,2,3,2,   3,3,3,3,3,       4,2,4,4,2, 4,3,4,0,4,   2,4,3,4,4,   4,4,4,4,4]    | jogarulfop/policy_2026-08-06_shake4it_bench_dragonfly_10kHz_nfft_512             | from jogarulfop/2026-08-06_shake4it_bench_dgf_load_cell_20260806_173918                                                                   |
| nfft = 512,<br>0-10kHz, DGF_FRANK       | jogarulfop/rollout_2026-09-03_shake4it_bench_5sensors_v3_dragonfly_10kHz_nfft_512_20260903_154723<br><br> | \[1,1,1,1,1,  1,1,1,1,1,  1,1,1,1,1,  1,1,1,1,1,         2,2,2,2,2,  2,2,2,2,2,  2,2,2,2,3,  0,2,2,0,2,          3,3,3,2,3, 3,3,3,3,3,   3,3,2,3,3,   3,3,3,3,3,       3,4,3,3,3, 4,4,3,4,3,   3,4,3,4,3,   4,4,4,3,3]    | jogarulfop/policy_2026-09-02_shake4it_bench_5sensors_v3_dragonfly_10kHz_nfft_512 | from jogarulfop/2026-09-03_shake4it_bench_5sensors_v3_20260903_105200                                                                     |
| nfft = 512,<br>0-10kHz, ACC MEMS        | jogarulfop/rollout_2026-09-07_shake4it_bench_5sensors_v3_acc_mems_10kHz_nfft_512_20260907_104906          | \[1,1,1,1,1,  1,1,1,1,1,  1,1,1,1,1,  1,1,1,1,1,         2,2,2,2,2,  2,2,2,2,2,  2,3,2,3,2,  0,2,2,0,2,          3,3,3,3,3, 3,3,3,3,4,   3,4,3,3,3,   3,3,3,3,3,       4,3,4,3,0, 0,4,4,4,4,   0,0,4,4,0,   0,4,4,4,4]    |                                                                                  | from jogarulfop/2026-09-03_shake4it_bench_5sensors_v3_20260903_105200                                                                     |
| nfft = 512,<br>0-10kHz, PZT             | jogarulfop/rollout_2026-09-07_shake4it_bench_5sensors_v3_pastille_pzt_10kHz_nfft_512_20260907_131438      | \[1,1,1,2,1,  2,1,1,1,1,  1,1,1,1,1,  2,2,1,2,1,         2,2,2,2,2,  2,2,2,2,2,  2,3,2,3,2,  0,2,2,0,2,          3,3,3,3,3, 3,3,3,3,4,   3,4,3,3,3,   3,3,3,3,3,       4,3,3,3,3, 4,4,4,4,4,   3,3,3,3,2,   4,3,4,4,4]    |                                                                                  | from jogarulfop/2026-09-03_shake4it_bench_5sensors_v3_20260903_105200                                                                     |
| nfft = 512,<br>0-10kHz, DGF_PASSIF      | jogarulfop/rollout_2026-09-07_shake4it_bench_5sensors_v3_dgf_passif_10kHz_nfft_512_20260907_141249        | \[1,1,1,1,1,  1,1,1,2,0,  1,1,1,0,1,  1,1,1,1,1,         2,3,2,3,3,  0,2,2,3,2,  0,0,2,2,3,  4,2,2,2,2,          3,3,3,2,4, 3,3,3,3,3,   3,3,3,4,3,   3,4,3,3,3,       4,3,3,3,2, 3,4,4,3,4,   4,4,3,0,3,   0,4,4,4,4]    |                                                                                  | from jogarulfop/2026-09-03_shake4it_bench_5sensors_v3_20260903_105200                                                                     |
